,PlayerID,PlayerName,ClubID
201,182904,Clément Lenglet,405
202,233124,Kortney Hause,405
203,126664,Lucas Digne,405
204,193098,Álex Moreno,405
205,425334,Matty Cash,405
206,215118,Calum Chambers,405
207,394327,Boubacar Kamara,405
208,168157,Leander Dendoncker,405
209,447661,Douglas Luiz,405
210,503749,Jacob Ramsey,405
211,193116,John McGinn,405
212,249565,Youri Tielemans,405
213,696589,Tim Iroegbunam,405
214,392085,Nicolò Zaniolo,405
215,387626,Leon Bailey,405
216,395516,Moussa Diaby,405
217,321247,Emiliano Buendía,405
218,131996,Bertrand Traoré,405
219,324358,Ollie Watkins,405
220,649317,Jhon Durán,405
221,120629,Alphonse Areola,379
222,29692,Lukasz Fabianski,379
223,576099,Joseph Anang,379
224,361914,Nayef Aguerd,379
225,157509,Kurt Zouma,379
226,415912,Konstantinos Mavropanos,379
227,228948,Thilo Kehrer,379
228,48002,Angelo Ogbonna,379
229,181778,Emerson Palmieri,379
230,92571,Aaron Cresswell,379
231,468002,Ben Johnson,379
232,157672,Vladimir Coufal,379
233,401356,Edson Álvarez,379
234,283628,Tomas Soucek,379
235,419025,Conor Coventry,379
236,181579,James Ward-Prowse,379
237,444523,Lucas Paquetá,379
238,543499,Mohammed Kudus,379
239,357885,Pablo Fornals,379
240,290532,Saïd Benrahma,379
241,234781,Maxwel Cornet,379
242,314875,Jarrod Bowen,379
243,134294,Danny Ings,379
244,104124,Michail Antonio,379
245,670848,Divin Mubama,379
246,565093,Bart Verbruggen,1237
247,73564,Jason Steele,1237
248,406556,Tom McGill,1237
249,212847,Adam Webster,1237
250,148153,Lewis Dunk,1237
251,380350,Igor,1237
252,576314,Jan Paul van Hecke,1237
253,349599,Pervis Estupiñán,1237
254,504148,Tariq Lamptey,1237
255,111195,Joël Veltman,1237
256,973085,Carlos Baleba,1237
257,423744,Billy Gilmour,1237
258,867688,Jack Hinshelwood,1237
259,191422,Mahmoud Dahoud,1237
260,384461,Jakub Moder,1237
261,82873,Pascal Groß,1237
262,3333,James Milner,1237
263,983989,Facundo Buonanotte,1237
264,43530,Adam Lallana,1237
265,504849,Kaoru Mitoma,1237
266,466810,Ansu Fati,1237
267,658536,Simon Adingra,1237
268,209212,Solly March,1237
269,660867,Julio Enciso,1237
270,648046,Evan Ferguson,1237
271,626724,João Pedro,1237
272,67063,Danny Welbeck,1237
273,425306,Matt Turner,703
274,124419,Odysseas Vlachodimos,703
275,242284,Ethan Horvath,703
276,45494,Wayne Hennessey,703
277,291200,Moussa Niakhaté,703
278,415970,Joe Worrall,703
279,621993,Andrew Omobamidele,703
280,255906,Scott McKenna,703
281,1005649,Murillo,703
282,142310,Willy Boly,703
283,156501,Felipe,703
284,535955,Nuno Tavares,703
285,198516,Harry Toffolo,703
286,503680,Neco Williams,703
287,402733,Gonzalo Montiel,703
288,127032,Serge Aurier,703
289,236490,Ola Aina,703
290,375885,Ibrahim Sangaré,703
291,743600,Andrey Santos,703
292,66934,Cheikhou Kouyaté,703
293,808509,Danilo,703
294,289592,Orel Mangala,703
295,497291,Nicolás Domínguez,703
296,425902,Ryan Yates,703
297,55742,Harry Arter,703
298,429014,Morgan Gibbs-White,703
